"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Perez, Salvador","521692","NA","2",,"114","114","0","0","0","0","0","0","0","0","70.4","70.2",,,,,,,,,"70.2"
"Solano, Donovan","456781","NA","3","First Baseman","187","180","7","0","0","0","0","0","7","0","72.1","71.7",,,,,,,,,"71.7"
"Turner, Justin","457759","NA","3","First Baseman","124","119","0","5","0","0","0","0","5","0","75.7","73.8",,,,,,,,,"73.8"
"Santana, Carlos","467793","NA","3","First Baseman","399","399","0","0","0","0","0","0","0","0","87.1","82.5",,,,,,,,,"82.5"
"Goldschmidt, Paul","502671","NA","3","First Baseman","492","492","0","0","0","0","0","0","0","0","70.9","69.1",,,,,,,,,"69.1"
"Freeman, Freddie","518692","NA","3","First Baseman","735","735","0","0","0","0","0","0","0","0","83.8","78.6",,,,,,,,,"78.6"
"Harper, Bryce","547180","NA","3","First Baseman","322","322","0","0","0","0","0","0","0","0","77.5","75.6",,,,,,,,,"75.6"
"Walker, Christian","572233","NA","3","First Baseman","494","494","0","0","0","0","0","0","0","0","76.6","72.8",,,,,,,,,"72.8"
"Contreras, Willson","575929","NA","3","First Baseman","497","497","0","0","0","0","0","0","0","0","90","88.2",,,,,,,,,"88.2"
"Olson, Matt","621566","NA","3","First Baseman","902","902","0","0","0","0","0","0","0","0","84.9","76.7",,,,,,,,,"76.7"
"Alonso, Pete","624413","NA","3","First Baseman","847","847","0","0","0","0","0","0","0","0","75.3","73.5",,,,,,,,,"73.5"
"Bauers, Jake","641343","NA","3","First Baseman","169","114","0","0","0","47","0","8","0","55","89.5","76.9",,,,,,,,"82.7","82.7"
"Smith, Dominic","642086","NA","3","First Baseman","255","255","0","0","0","0","0","0","0","0","68.5","65.6",,,,,,,,,"65.6"
"Tellez, Rowdy","642133","NA","3","First Baseman","302","302","0","0","0","0","0","0","0","0","79.4","73.1",,,,,,,,,"73.1"
"Naylor, Josh","647304","NA","3","First Baseman","625","625","0","0","0","0","0","0","0","0","89.4","86",,,,,,,,,"86"
"Toro, Abraham","647351","NA","3","First Baseman","316","275","0","41","0","0","0","0","41","0","85.2","81.1",,,,,,,,,"81.1"
"Arraez, Luis","650333","NA","3","First Baseman","368","338","30","0","0","0","0","0","30","0","81.3","80.8",,,,,,,,,"80.8"
"Hoskins, Rhys","656555","NA","3","First Baseman","411","411","0","0","0","0","0","0","0","0","82.2","76.2",,,,,,,,,"76.2"
"O'Hearn, Ryan","656811","NA","3","First Baseman","311","267","0","0","0","9","0","35","0","44","86","72.2",,,,,,,,,"72.2"
"Mountcastle, Ryan","663624","NA","3","First Baseman","211","211","0","0","0","0","0","0","0","0","63","62.5",,,,,,,,,"62.5"
"Gonzalez, Romy","663853","NA","3","First Baseman","403","241","161","1","0","0","0","0","162","0","81.1","74","77.8",,,,,,"77.8",,"77.8"
