"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,19.530233967703012,,,,,19.530233967703012,16.957725474347633,4.926868552780413,-2.354360059425034,2297,2297,0,0,0,0,0,0,0
"Doyle, Brenton",686668,18.77592629132268,18.77592629132268,12.181570694566924,6.594355596755758,,,,,,3071,0,0,0,0,0,0,3071,0
"Hedges, Austin",595978,16.33320161770116,,,,,16.33320161770116,14.485383124900668,-0.22807671927666168,2.075895212077154,1712,1701,0,0,0,0,0,0,0
"Swanson, Dansby",621020,15.740000133853023,15.740000133853023,14.775248072156073,0.00880706599616973,0.955944995700791,,,,,3838,0,0,0,0,3838,0,0,0
"Giménez, Andrés",665926,15.460234826022798,15.460234826022798,13.391424641226674,0.31012180299420966,1.7586883818019157,,,,,3924,0,0,3924,0,0,0,0,0
"Heim, Jonah",641680,14.989476688629825,,,,,14.989476688629825,11.898460962205066,3.1572725175749317,-0.06625679115017521,2980,2980,0,0,0,0,0,0,0
"Estrada, Thairo",642731,14.842289697165214,14.842289697165214,13.796225868681818,-0.13908319123162646,1.1851470197150158,,,,,3104,0,0,2571,0,477,56,0,0
"Hayes, Ke'Bryan",663647,13.707715774134398,13.707715774134398,13.14358328070129,-0.2047299969838431,0.7688624904169503,,,,,3113,0,0,0,3113,0,0,0,0
"Tovar, Ezequiel",678662,13.33920661514653,13.33920661514653,11.479622347522271,0.5098114178232654,1.3497728498009922,,,,,3981,0,0,0,0,3981,0,0,0
"Semien, Marcus",543760,12.536933599905574,12.536933599905574,10.46110871000637,0.16451161428713945,1.9113132756120614,,,,,4219,0,0,4219,0,0,0,0,0
"Garcia, Maikel",672580,12.060769980061034,12.060769980061034,10.9932804619158,0.042457441311943594,1.025032076833289,,,,,2945,0,0,87,2579,279,0,0,0
"Adames, Willy",642715,11.88320114006692,11.88320114006692,11.67068212060124,0.08114220807163794,0.1313768113940426,,,,,3846,0,0,0,0,3846,0,0,0
"Tatis Jr., Fernando",665487,11.571432774894026,11.571432774894026,7.513137281193902,4.058295493700124,,,,,,3619,0,0,3,0,0,0,90,3526
"Robert Jr., Luis",673357,11.417302517246979,11.417302517246979,10.725901513150335,0.6914010040966447,,,,,,3623,0,0,0,0,0,0,3623,0
"Alvarez, Francisco",682626,11.167365014708777,,,,,11.167365014708777,14.015884288362772,-2.903837652501475,0.05531837884746932,2621,2621,0,0,0,0,0,0,0
"Varsho, Daulton",662139,10.978663401484187,10.978663401484187,8.497735903785262,2.4809274976989206,,,,,,3840,0,0,0,0,0,2453,1387,0
"Walker, Christian",572233,10.97564345912249,10.97564345912249,8.972131325211478,,2.003512133911005,,,,,3928,0,3928,0,0,0,0,0,0
"Kirk, Alejandro",672386,10.871423216618155,,,,,10.871423216618155,7.24182497616883,0.0557270486897512,3.573871191759569,2325,2325,0,0,0,0,0,0,0
"Siri, Jose",642350,10.855395701251597,10.855395701251597,8.73169480435036,2.1237008969012408,,,,,,2504,0,0,0,0,0,0,2504,0
"Kiermaier, Kevin",595281,10.364106560063918,10.364106560063918,10.216913299025467,0.14719326103845248,,,,,,2944,0,0,0,0,0,0,2944,0
