"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Lukes, Nathan","664770","2024",,,,,,,,,12,,,,,,86,39,,,,
"Amaya, Jacob","676070","2024",,,,,,,,,13,,,,,,27,73,,,,
"Helman, Michael","680737","2024",,,,,,,,,3,,,,,,,82,,,,
"León, Pedro","694175","2024",,,,,,,,,46,,,,,,,18,,,,
"Driscoll, Logan","686482","2024",,,,,,,,,19,,,,,,,11,,,,
"Martini, Nick","605361","2024",,,,,,,,,33,,,,,,,50,,,,
"Naylor, Bo","666310","2024",1,1,7,29,1,27,52,44,47,38,5,44,29,58,,28,,26,31,39
"Berti, Jon","542932","2024",,,,,,,,,67,,,,,,,91,,,,
"Davis, J.D.","605204","2024",,,,,,,,,80,,,,,,,13,,,,
"Contreras, William","661388","2024",90,81,86,77,91,84,68,94,100,91,57,90,32,69,,25,,86,62,48
"Verdugo, Alex","657077","2024",31,54,30,24,37,48,25,32,67,21,88,49,93,70,94,31,66,9,96,99
"Acuña Jr., Ronald","660670","2024",,,,,,,,,93,,,,,,89,60,,,,
"Toglia, Michael","669911","2024",90,40,93,96,75,81,98,91,81,94,4,92,3,57,4,51,11,70,16,29
"Nimmo, Brandon","607043","2024",72,40,54,57,86,72,60,89,77,83,37,91,56,78,65,68,67,73,44,48
"Wood, James","695578","2024",,,,,,,,,79,,,,,,37,85,,,,
"Chourio, Jackson","694192","2024",59,84,61,47,58,60,50,60,79,73,53,31,35,26,48,97,89,70,61,39
"Gorman, Nolan","669357","2024",35,5,68,89,7,68,98,38,72,41,1,56,1,36,14,21,8,70,1,29
"Sweeney, Trey","700242","2024",,,,,,,,,47,,,,,,27,73,77,,,
"Rooker, Brent","667670","2024",95,79,97,98,82,97,97,89,89,92,10,69,5,30,,56,,78,23,72
"Villar, David","681584","2024",,,,,,,,,24,,,,,,,21,,,,
"Chaparro, Andrés","665953","2024",,,,,,,,,27,,,,,,,15,,,,
"Kavadas, Niko","694359","2024",,,,,,,,,34,,,,,,,19,,,,
"Fermin, Freddy","666023","2024",7,40,8,4,18,3,6,29,36,18,73,23,59,32,,28,,,,
"Dahl, David","621311","2024",,,,,,,,,19,,,,,,,44,,,,
"Maldonado, Martín","455117","2024",,,,,,,,,32,,,,,,,1,,,,
"Seager, Corey","608369","2024",97,93,97,98,91,95,95,91,88,94,72,72,56,55,27,9,90,58,62,97
"Kepler, Max","596146","2024",27,45,31,27,23,24,31,46,96,30,60,14,50,34,68,34,87,42,55,29
"Urshela, Gio","570482","2024",34,78,42,26,27,24,20,11,47,8,85,10,74,8,16,6,87,7,82,72
"Cave, Jake","595909","2024",7,30,19,20,7,10,22,20,25,33,14,12,30,19,61,60,32,,,
"Alvarez, Armando","669137","2024",,,,,,,,,9,,,,,,,60,,,,
"Matos, Luis","682641","2024",,,,,,,,,48,,,,,,89,63,,,,
"Wisdom, Patrick","621550","2024",,,,,,,,,85,,,,,,,63,,,,
"Martin, Austin","668885","2024",,,,,,,,,44,,,,,,67,75,5,,,
"Marsh, Brandon","669016","2024",59,27,55,62,56,48,68,86,62,83,3,78,33,80,75,74,41,52,50,62
"López, Jack","605346","2024",,,,,,,,,11,,,,,,35,57,,,,
"Rizzo, Anthony","519203","2024",27,36,14,13,50,8,14,12,67,16,74,38,80,17,9,3,26,,,
"Buxton, Byron","621439","2024",88,75,92,92,56,65,89,87,88,86,27,12,10,22,88,97,84,84,19,2
"Norby, Connor","681393","2024",,,,,,,,,31,,,,,,41,94,,,,
"O'Hoppe, Logan","681351","2024",66,54,76,80,36,74,81,70,79,79,8,23,7,16,,71,,28,26,48
"Friedl, TJ","670770","2024",21,21,5,7,54,3,6,6,46,12,87,45,86,78,54,26,14,,,
"Goldschmidt, Paul","502671","2024",64,62,76,76,40,84,73,82,76,92,21,38,34,43,1,23,52,61,49,8
"Garcia, Maikel","672580","2024",29,74,24,14,42,24,10,70,42,65,81,30,92,92,68,66,76,31,98,62
"Burger, Jake","669394","2024",73,64,88,88,34,87,84,84,96,81,25,14,16,8,48,65,7,86,41,29
"Story, Trevor","596115","2024",,,,,,,,,17,,,,,,23,70,,,,
"Wall, Forrest","657088","2024",,,,,,,,,6,,,,,,,88,,,,
"Bliss, Ryan","669208","2024",,,,,,,,,26,,,,,,11,82,,,,
"White, Eli","642201","2024",,,,,,,,,11,,,,,,,96,,,,
"Encarnacion-Strand, Christian","687952","2024",,,,,,,,,88,,,,,,,50,,,,
"Schneider, Davis","676914","2024",17,2,22,54,13,58,81,40,52,40,4,77,15,87,46,45,48,20,19,86
"Wagner, Will","695238","2024",,,,,,,,,48,,,,,,18,25,,,,
"Ibáñez, Andy","628451","2024",,,,,,,,,42,,,,,,7,58,91,,,
"Canzone, Dominic","686527","2024",,,,,,,,,65,,,,,,87,42,,,,
"Vargas, Ildemaro","545121","2024",,,,,,,,,41,,,,,,10,32,70,,,
"Manzardo, Kyle","700932","2024",,,,,,,,,58,,,,,,,16,,,,
"Brennan, Will","686823","2024",31,84,29,14,46,12,16,6,47,14,94,14,84,17,70,73,24,,,
"Hicks, Aaron","543305","2024",,,,,,,,,16,,,,,,,40,,,,
"Hiura, Keston","669374","2024",,,,,,,,,30,,,,,,,33,,,,
"Keirsey Jr., DaShawn","680577","2024",,,,,,,,,15,,,,,,,38,,,,
