"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Perez, Salvador","521692","NA","2",,"203","203","0","0","0","0","0","0","0","0","74.3","73.8",,,,,,,,,"73.8"
"Goodman, Hunter","696100","NA","2",,"92","16","0","0","0","10","0","66","0","76","91.6",,,,,,,"88.6",,"88.7","88.7"
"Santana, Carlos","467793","NA","3","First Baseman","608","608","0","0","0","0","0","0","0","0","85.6","79.3",,,,,,,,,"79.3"
"Goldschmidt, Paul","502671","NA","3","First Baseman","697","697","0","0","0","0","0","0","0","0","75.4","67.7",,,,,,,,,"67.7"
"Freeman, Freddie","518692","NA","3","First Baseman","868","868","0","0","0","0","0","0","0","0","83.8","77.6",,,,,,,,,"77.6"
"Rizzo, Anthony","519203","NA","3","First Baseman","377","377","0","0","0","0","0","0","0","0","77.3","75.8",,,,,,,,,"75.8"
"Flores, Wilmer","527038","NA","3","First Baseman","171","167","0","4","0","0","0","0","4","0","81.6","71.8",,,,,,,,,"71.8"
"Harper, Bryce","547180","NA","3","First Baseman","343","343","0","0","0","0","0","0","0","0","84.4","79.9",,,,,,,,,"79.9"
"Singleton, Jon","572138","NA","3","First Baseman","260","260","0","0","0","0","0","0","0","0","70.2","70",,,,,,,,,"70"
"Walker, Christian","572233","NA","3","First Baseman","545","545","0","0","0","0","0","0","0","0","74.1","71.4",,,,,,,,,"71.4"
"Canha, Mark","592192","NA","3","First Baseman","232","154","0","0","0","54","0","24","0","78","87.9","74.8",,,,"83.5",,,,"85.5","85.5"
"Bell, Josh","605137","NA","3","First Baseman","498","498","0","0","0","0","0","0","0","0","80.2","71.4",,,,,,,,,"71.4"
"Gallo, Joey","608336","NA","3","First Baseman","295","262","0","0","0","1","0","32","0","33","98.3","74",,,,,,,,,"74"
"Meneses, Joey","608841","NA","3","First Baseman","260","260","0","0","0","0","0","0","0","0","76.7","75.5",,,,,,,,,"75.5"
"Olson, Matt","621566","NA","3","First Baseman","883","883","0","0","0","0","0","0","0","0","86.2","79.7",,,,,,,,,"79.7"
"Alonso, Pete","624413","NA","3","First Baseman","828","828","0","0","0","0","0","0","0","0","72.9","70.6",,,,,,,,,"70.6"
"Cronenworth, Jake","630105","NA","3","First Baseman","592","326","266","0","0","0","0","0","266","0","83.5","72.8","78.5",,,,,,"78.5",,"78.5"
"Bauers, Jake","641343","NA","3","First Baseman","296","266","0","0","0","19","0","11","0","30","90.1","75.5",,,,,,,,,"75.5"
"Smith, Dominic","642086","NA","3","First Baseman","336","336","0","0","0","0","0","0","0","0","71.4","67.7",,,,,,,,,"67.7"
"Tellez, Rowdy","642133","NA","3","First Baseman","346","346","0","0","0","0","0","0","0","0","81.3","78.6",,,,,,,,,"78.6"
"Naylor, Josh","647304","NA","3","First Baseman","533","533","0","0","0","0","0","0","0","0","84.5","80.6",,,,,,,,,"80.6"
"Arraez, Luis","650333","NA","3","First Baseman","389","202","187","0","0","0","0","0","187","0","79.2","77.5","74.9",,,,,,"74.9",,"77.5"
"Díaz, Yandy","650490","NA","3","First Baseman","363","363","0","0","0","0","0","0","0","0","74.1","71.7",,,,,,,,,"71.7"
"Hoskins, Rhys","656555","NA","3","First Baseman","433","433","0","0","0","0","0","0","0","0","72.2","68.7",,,,,,,,,"68.7"
"Joe, Connor","656582","NA","3","First Baseman","374","247","0","0","0","18","0","109","0","127","93.3","75.6",,,,,,"89.7",,"89.8","89.8"
"Sheets, Gavin","657757","NA","3","First Baseman","297","175","0","0","0","0","0","122","0","122","91.8","80.1",,,,,,"88.6",,"88.6","88.6"
"Montero, Elehuris","660707","NA","3","First Baseman","163","163","0","0","0","0","0","0","0","0","80.8","79.6",,,,,,,,,"79.6"
"Yepez, Juan","660766","NA","3","First Baseman","220","220","0","0","0","0","0","0","0","0","81.6","80.2",,,,,,,,,"80.2"
"Nevin, Tyler","663527","NA","3","First Baseman","203","90","0","38","0","30","0","45","38","75","93.7",,,,,,,,,"87.3","87.3"
"Mountcastle, Ryan","663624","NA","3","First Baseman","506","506","0","0","0","0","0","0","0","0","76.2","68.6",,,,,,,,,"68.6"
"Lowe, Nathaniel","663993","NA","3","First Baseman","539","539","0","0","0","0","0","0","0","0","82.8","79.8",,,,,,,,,"79.8"
"France, Ty","664034","NA","3","First Baseman","583","580","3","0","0","0","0","0","3","0","82.4","73.1",,,,,,,,,"73.1"
"Wade Jr., LaMonte","664774","NA","3","First Baseman","447","434","0","0","0","3","0","10","0","13","84.6","74.7",,,,,,,,,"74.7"
"Guerrero Jr., Vladimir","665489","NA","3","First Baseman","598","569","0","29","0","0","0","0","29","0","90.9","88.5",,,,,,,,,"88.5"
"Toglia, Michael","669911","NA","3","First Baseman","510","464","0","0","0","2","0","44","0","46","89.9","73",,,,,,,,,"73"
"Casas, Triston","671213","NA","3","First Baseman","359","359","0","0","0","0","0","0","0","0","77.4","76.2",,,,,,,,,"76.2"
"Noda, Ryan","676116","NA","3","First Baseman","114","112","0","0","0","0","0","2","0","2","76","66.1",,,,,,,,,"66.1"
"Torkelson, Spencer","679529","NA","3","First Baseman","391","391","0","0","0","0","0","0","0","0","73","72.3",,,,,,,,,"72.3"
"Bride, Jonah","681146","NA","3","First Baseman","141","110","7","24","0","0","0","0","31","0","81.9","73.2",,,,,,,,,"73.2"
"Vaughn, Andrew","683734","NA","3","First Baseman","387","387","0","0","0","0","0","0","0","0","80.1","74.8",,,,,,,,,"74.8"
"Busch, Michael","683737","NA","3","First Baseman","594","589","5","0","0","0","0","0","5","0","71.2","69.4",,,,,,,,,"69.4"
"Pasquantino, Vinnie","686469","NA","3","First Baseman","402","402","0","0","0","0","0","0","0","0","72.5","70.4",,,,,,,,,"70.4"
"Soderstrom, Tyler","691016","NA","3","First Baseman","170","170","0","0","0","0","0","0","0","0","79.3","79",,,,,,,,,"79"
"Schanuel, Nolan","694384","NA","3","First Baseman","506","506","0","0","0","0","0","0","0","0","79","76.5",,,,,,,,,"76.5"
"Rice, Ben","700250","NA","3","First Baseman","116","116","0","0","0","0","0","0","0","0","72.3","70.5",,,,,,,,,"70.5"
"Altuve, Jose","514888","NA","4","Second Baseman","553","0","553","0","0","0","0","0","553","0","81.3",,"75.5",,,,,,"75.5",,"75.5"
"Semien, Marcus","543760","NA","4","Second Baseman","683","0","683","0","0","0","0","0","683","0","81.6",,"76.3",,,,,,"76.3",,"76.3"
"Farmer, Kyle","571657","NA","4","Second Baseman","253","1","191","32","29","0","0","0","252","0","86.2",,"78.2",,,,,,"80.7",,"80.7"
"Iglesias, Jose","578428","NA","4","Second Baseman","319","0","254","57","8","0","0","0","319","0","87.8",,"77.6",,,,,,"79.6",,"79.6"
"Drury, Brandon","592273","NA","4","Second Baseman","331","47","252","32","0","0","0","0","284","0","82.6",,"76.5",,,,,,"77.8",,"77.8"
"Merrifield, Whit","593160","NA","4","Second Baseman","305","0","221","29","0","55","0","0","250","55","91.6",,"80.2",,,"83.5",,,"80.4","83.5","83.5"
"Bogaerts, Xander","593428","NA","4","Second Baseman","430","0","364","0","66","0","0","0","430","0","85.8",,"76.5",,,,,,"78.5",,"78.5"
"Polanco, Jorge","593871","NA","4","Second Baseman","452","0","452","0","0","0","0","0","452","0","83.1",,"75.6",,,,,,"75.6",,"75.6"
"López, Jack","605346","NA","4","Second Baseman","94","0","70","0","24","0","0","0","94","0","86.7",,,,,,,,"83",,"83"
"Marte, Ketel","606466","NA","4","Second Baseman","624","0","623","0","1","0","0","0","624","0","90.8",,"82.4",,,,,,"82.4",,"82.4"
"Mateo, Jorge","622761","NA","4","Second Baseman","239","0","212","0","20","0","7","0","232","7","88.9",,"84.1",,,,,,"84.5",,"84.5"
"Biggio, Cavan","624415","NA","4","Second Baseman","236","46","128","34","0","0","0","28","162","28","83",,"76",,,,,,"77.3",,"77.3"
"Frazier, Adam","624428","NA","4","Second Baseman","222","0","147","8","0","11","0","56","155","67","93.7",,"76.4",,,,,"86.6","77.6","86.7","86.7"
"Ibáñez, Andy","628451","NA","4","Second Baseman","200","43","117","25","4","11","0","0","146","11","80.6",,"75.3",,,,,,"75.2",,"75.2"
"Guillorme, Luis","641645","NA","4","Second Baseman","207","0","160","25","22","0","0","0","207","0","83",,"77.3",,,,,,"79.5",,"79.5"
"Estrada, Thairo","642731","NA","4","Second Baseman","511","0","511","0","0","0","0","0","511","0","83.1",,"75.9",,,,,,"75.9",,"75.9"
"McNeil, Jeff","643446","NA","4","Second Baseman","503","0","437","0","0","27","0","39","437","66","90.6",,"78.7",,,,,,"78.7","86.8","86.8"
"Albies, Ozzie","645277","NA","4","Second Baseman","349","0","349","0","0","0","0","0","349","0","76.8",,"72.5",,,,,,"72.5",,"72.5"
"Torres, Gleyber","650402","NA","4","Second Baseman","652","0","652","0","0","0","0","0","652","0","92.2",,"75.2",,,,,,"75.2",,"75.2"
"Hoerner, Nico","663538","NA","4","Second Baseman","742","0","684","0","58","0","0","0","742","0","85",,"75.1",,,,,,"75.6",,"75.6"
"India, Jonathan","663697","NA","4","Second Baseman","437","0","437","0","0","0","0","0","437","0","79.2",,"76.1",,,,,,"76.1",,"76.1"
"Rodgers, Brendan","663898","NA","4","Second Baseman","517","0","517","0","0","0","0","0","517","0","87.6",,"78.6",,,,,,"78.6",,"78.6"
"Lowe, Brandon","664040","NA","4","Second Baseman","264","32","232","0","0","0","0","0","232","0","81.9",,"78",,,,,,"78",,"78"
"Valdez, Enmanuel","665839","NA","4","Second Baseman","242","0","240","2","0","0","0","0","242","0","79.2",,"74.8",,,,,,"74.6",,"74.6"
"Giménez, Andrés","665926","NA","4","Second Baseman","654","0","654","0","0","0","0","0","654","0","96",,"86.6",,,,,,"86.6",,"86.6"
"Lux, Gavin","666158","NA","4","Second Baseman","441","0","440","0","1","0","0","0","441","0","79.8",,"75.1",,,,,,"75",,"75"
"Julien, Edouard","666397","NA","4","Second Baseman","285","0","285","0","0","0","0","0","285","0","83",,"79.8",,,,,,"79.8",,"79.8"
"Schunk, Aaron","668845","NA","4","Second Baseman","141","0","87","27","27","0","0","0","141","0","90.1",,"83",,,,,,"84.1",,"84.1"
"Turang, Brice","668930","NA","4","Second Baseman","645","0","645","0","0","0","0","0","645","0","86.1",,"80",,,,,,"80",,"80"
"Bliss, Ryan","669208","NA","4","Second Baseman","102","0","102","0","0","0","0","0","102","0","82.5",,"77.2",,,,,,"77.2",,"77.2"
"Gorman, Nolan","669357","NA","4","Second Baseman","485","0","485","0","0","0","0","0","485","0","83.8",,"78.4",,,,,,"78.4",,"78.4"
"Schmitt, Casey","669477","NA","4","Second Baseman","113","0","52","17","44","0","0","0","113","0","93.6",,,,,,,,"89.7",,"89.7"
"Lopez, Nicky","670032","NA","4","Second Baseman","536","0","342","0","194","0","0","0","536","0","90.5",,"81.3",,"84.3",,,,"83.5",,"83.5"
"García Jr., Luis","671277","NA","4","Second Baseman","495","0","495","0","0","0","0","0","495","0","85.6",,"77.9",,,,,,"77.9",,"77.9"
"Lopez, Otto","672640","NA","4","Second Baseman","486","0","446","13","24","2","1","0","483","3","89.7",,"82",,,,,,"83.1",,"83.1"
"Williams, Alika","675961","NA","4","Second Baseman","117","0","66","0","51","0","0","0","117","0","81.4",,,,,,,,"79.1",,"79.1"
"Trejo, Alan","676701","NA","4","Second Baseman","79","0","62","7","10","0","0","0","79","0","86.9",,,,,,,,"85.6",,"85.6"
"Paris, Kyren","677347","NA","4","Second Baseman","81","0","72","0","9","0","0","0","81","0","86.4",,,,,,,,"83.5",,"83.5"
"Mead, Curtis","678554","NA","4","Second Baseman","128","2","98","28","0","0","0","0","126","0","82.7",,"78.7",,,,,,"80.6",,"80.6"
"Loftin, Nick","679845","NA","4","Second Baseman","151","8","110","31","0","2","0","0","141","2","86",,"80.4",,,,,,"83.4",,"83.4"
"Palacios, Richie","680700","NA","4","Second Baseman","258","0","139","8","0","41","0","70","147","111","91.3",,"75.3",,,,,"87.7","75","86.3","86.3"
"Gelof, Zack","680869","NA","4","Second Baseman","580","0","580","0","0","0","0","0","580","0","82.7",,"77.2",,,,,,"77.2",,"77.2"
"Stott, Bryson","681082","NA","4","Second Baseman","526","0","491","0","35","0","0","0","526","0","90.3",,"82.5",,,,,,"84.1",,"84.1"
"Baldwin, Brooks","681460","NA","4","Second Baseman","146","0","107","0","39","0","0","0","146","0","85.2",,"75.8",,,,,,"79.8",,"79.8"
