"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,28.371336662624312,,,,,28.371336662624312,22.499853592799195,6.2354976144960155,-0.3640145446709249,2724,2724,0,0,0,0,0,0,0
"Kirk, Alejandro",672386,17.46403551621298,,,,,17.46403551621298,11.864454833482167,4.854024666148485,0.7455560165823292,2298,2298,0,0,0,0,0,0,0
"Young, Jacob",696285,16.59922580835014,16.59922580835014,18.18169494292921,-1.5824691345790634,,,,,,3755,0,0,0,0,0,0,3755,0
"Giménez, Andrés",665926,16.45036316119347,16.45036316119347,13.93962611231691,-0.05536113742908634,2.5660981863056387,,,,,3993,0,0,3993,0,0,0,0,0
"Crow-Armstrong, Pete",691718,15.629763914444892,15.629763914444892,11.916413816221242,3.713350098223653,,,,,,2897,0,0,0,0,0,0,2897,0
"Tovar, Ezequiel",678662,15.509353514536574,15.509353514536574,11.070301994896582,0.00884556241448517,4.430205957225507,,,,,4127,0,0,0,0,4127,0,0,0
"Varsho, Daulton",662139,15.354352444607095,15.354352444607095,13.002105178609483,2.3522472659976064,,,,,,3256,0,0,0,0,0,1213,2016,27
"Raleigh, Cal",663728,15.112300018097221,,,,,15.112300018097221,12.742531656186387,2.785622327756058,-0.41585396584522205,3366,3366,0,0,0,0,0,0,0
"Siri, Jose",642350,14.690698328144553,14.690698328144553,14.201824829307142,0.4888734988374097,,,,,,3149,0,3,0,0,0,0,3146,0
"Doyle, Brenton",686668,14.35938621376945,14.35938621376945,12.944642019495234,1.4147441942742174,,,,,,3728,0,0,0,0,0,0,3728,0
"Semien, Marcus",543760,14.147729267367248,14.147729267367248,14.180408094473997,-0.0009543816178097489,-0.03172444548893892,,,,,4148,0,0,4148,0,0,0,0,0
"Lindor, Francisco",596019,14.042064536937291,14.042064536937291,12.007447641328273,0.060234298628646654,1.9743825969803672,,,,,3935,0,0,0,0,3935,0,0,0
"Siani, Michael",672279,12.70160288643434,12.70160288643434,14.156000491507177,-1.4543976050728424,,,,,,2632,0,0,0,0,0,54,2515,63
"Swanson, Dansby",621020,12.335385197457654,12.335385197457654,12.99844453733154,0.03025388328261967,-0.6933132231565023,,,,,3820,0,0,0,0,3820,0,0,0
