"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Hedges, Austin","595978","2023",,,,,,,,,36,,,,,,,4,,,,
"Stowers, Kyle","669065","2023",,,,,,,,,16,,,,,,,15,,,,
"Davis, Jonathan","641505","2023",,,,,,,,,21,,,,,,15,88,,,,
"Isbel, Kyle","664728","2023",,,,,,,,,63,,,,,,42,56,97,,,
"Crawford, Brandon","543063","2023",,,,,,,,,62,,,,,,54,14,90,,,
"Winn, Masyn","691026","2023",,,,,,,,,11,,,,,,94,92,,,,
"Urshela, Gio","570482","2023",,,,,,,,,21,,,,,,22,22,57,,,
"Andrus, Elvis","462101","2023",2,20,2,2,7,3,4,18,50,9,78,21,77,53,15,30,90,,,
"Hicks, Aaron","543305","2023",,,,,,,,,25,,,,,,95,49,21,,,
"Capel, Conner","668843","2023",,,,,,,,,14,,,,,,93,41,,,,
"Barnhart, Tucker","571466","2023",,,,,,,,,10,,,,,,,1,,,,
"McKenna, Ryan","663630","2023",,,,,,,,,62,,,,,,70,84,,,,
"Thaiss, Matt","642136","2023",,,,,,,,,58,,,,,,,5,,,,
"Stubbs, Garrett","596117","2023",,,,,,,,,52,,,,,,,71,,,,
"Urías, Ramón","602104","2023",8,15,7,10,12,22,35,49,51,32,29,30,28,46,19,34,3,,,
"Chisholm Jr., Jazz","665862","2023",25,11,53,74,4,50,79,69,74,56,10,30,3,60,80,77,86,63,28,28
"Trout, Mike","545361","2023",95,83,92,91,96,62,95,89,92,95,15,88,26,92,75,96,86,,,
"Querecuto, Juniel","578570","2023",,,,,,,,,5,,,,,,,36,,,,
"Calhoun, Willie","641432","2023",,,,,,,,,51,,,,,,,8,,,,
"Taylor, Chris","621035","2023",28,11,32,54,32,29,62,7,66,28,5,78,4,86,66,74,27,35,1,47
"Donovan, Brendan","680977","2023",81,92,64,37,90,17,25,50,46,49,91,56,96,83,82,44,11,,,
"Grissom, Vaughn","687093","2023",,,,,,,,,33,,,,,,37,46,,,,
"Bailey, Patrick","672275","2023",29,38,44,49,17,32,63,37,41,33,17,17,43,63,,22,,20,23,47
"Torres, Gleyber","650402","2023",87,90,82,70,85,76,44,58,80,47,91,70,70,70,9,27,16,43,85,47
"Vavra, Terrin","679631","2023",,,,,,,,,23,,,,,,,64,,,,
"Marcano, Tucupita","672779","2023",,,,,,,,,18,,,,,,40,56,8,,,
"Wendle, Joey","621563","2023",,,,,,,,,24,,,,,,20,61,18,,,
"García, Avisaíl","541645","2023",,,,,,,,,77,,,,,,83,74,,,,
"Burger, Jake","669394","2023",84,73,91,90,53,92,98,89,99,91,21,17,8,5,40,67,3,94,33,13
"Noda, Ryan","676116","2023",61,6,29,58,80,58,85,79,90,71,2,98,2,94,1,48,24,52,13,47
"Madris, Bligh","676632","2023",,,,,,,,,13,,,,,,,21,,,,
"Miller, Owen","680911","2023",,,,,,,,,31,,,,,,9,90,94,,,
"Lowe, Josh","666139","2023",67,82,80,71,42,70,70,44,86,42,32,21,21,12,61,85,26,78,23,61
"Alfaro, Jorge","595751","2023",,,,,,,,,41,,,,,,,81,,,,
"Margot, Manuel","622534","2023",,,,,,,,,73,,,,,,64,75,80,,,
"Bellinger, Cody","641355","2023",54,76,56,43,53,42,27,22,48,10,87,36,77,33,86,75,80,20,87,13
"McCarthy, Jake","664983","2023",,,,,,,,,39,,,,,,21,98,43,,,
"Walsh, Jared","665120","2023",,,,,,,,,46,,,,,,,24,,,,
"DeJong, Paul","657557","2023",5,9,12,25,2,19,32,2,32,15,11,10,5,11,22,37,95,,,
"Bohm, Alec","664761","2023",73,93,70,43,76,45,23,52,49,55,88,32,89,39,26,32,12,49,67,37
"Delay, Jason","641511","2023",,,,,,,,,17,,,,,,,28,,,,
"Semien, Marcus","543760","2023",63,62,54,45,68,68,30,32,41,26,91,64,90,88,13,84,99,13,88,20
"Tucker, Cole","657061","2023",,,,,,,,,2,,,,,,,76,,,,
"Lee, Korey","686676","2023",,,,,,,,,17,,,,,,,66,,,,
"Turner, Trea","607208","2023",57,71,68,61,43,77,50,60,66,58,53,24,25,12,29,100,8,59,58,20
"Duran, Jarren","680776","2023",44,76,39,25,51,9,20,60,82,77,30,26,53,38,61,96,36,,,
"Bleday, JJ","668709","2023",,,,,,,,,43,,,,,,78,44,19,,,
"Wilson, Weston","642215","2023",,,,,,,,,22,,,,,,,45,,,,
"Olson, Matt","621566","2023",96,69,97,98,93,100,96,99,99,99,40,95,30,69,17,23,13,84,35,47
"Betts, Mookie","605141","2023",98,95,98,96,97,95,82,94,59,86,88,93,92,99,73,47,18,38,99,61
"Robert Jr., Luis","673357","2023",75,59,91,93,31,92,93,44,88,58,14,7,10,3,64,84,98,94,3,4
"Davis, J.D.","605204","2023",47,30,42,46,49,61,60,77,71,72,19,61,9,64,74,15,90,52,27,47
"Palacios, Richie","680700","2023",,,,,,,,,26,,,,,,51,68,,,,
"Perkins, Blake","663368","2023",,,,,,,,,49,,,,,,92,99,,,,
"Adames, Willy","642715","2023",60,26,55,68,57,87,82,16,55,23,26,82,18,28,73,55,99,61,16,1
"Martini, Nick","605361","2023",,,,,,,,,29,,,,,,,45,,,,
"Pederson, Joc","592626","2023",90,62,83,83,91,62,79,91,98,96,59,91,53,46,61,26,,61,84,37
"Heyward, Jason","518792","2023",37,40,38,40,47,30,47,20,83,28,82,57,74,47,87,43,92,,,
"Sosa, Lenyn","672820","2023",,,,,,,,,31,,,,,,23,58,40,,,
"Ozuna, Marcell","542303","2023",96,88,98,98,82,98,98,87,96,88,44,64,41,40,,28,,86,67,28
"Myers, Dane","667472","2023",,,,,,,,,53,,,,,,86,89,,,,
"McGuire, Reese","624512","2023",,,,,,,,,30,,,,,,,16,,,,
"Yelich, Christian","592885","2023",81,84,69,54,89,70,58,86,87,93,49,87,40,75,40,71,82,71,31,37
"Camargo, Johan","622666","2023",,,,,,,,,16,,,,,,,3,,,,
"Devers, Rafael","646240","2023",94,87,96,94,86,92,84,95,95,98,67,61,45,25,46,18,4,69,46,28
"Thomas, Cody","642137","2023",,,,,,,,,23,,,,,,,75,,,,
"Straw, Myles","664702","2023",3,30,1,1,25,1,1,7,22,2,71,44,98,78,62,92,87,2,89,94
