"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Webb, Logan","657277","2118","1959","2225",,"1502",,,,"2543",
"Rodón, Carlos","607074","2347","2256","2383","2633","1650","2717",,,,
"Crochet, Garrett","676979","2460","2399","2596",,"1711",,,,"2378",
"Gallen, Zac","668678","2322","2139","2338","2379","1518","2441",,,,
"Fried, Max","608331","2211","2132","2302","2538","1659","2920",,,"2838",
"Kikuchi, Yusei","579328","2185","2157",,"2295","1541","2526",,,"2389",
"Peralta, Freddy","642547","2441",,,"2454","1929","2336",,,,
"Ray, Robbie","592662","2360",,,"2269","1650","2185",,,"2206",
"Cease, Dylan","656302","2550","2477",,"2763","1681","2746",,,"2914",
"Gausman, Kevin","592332","2260","2280",,"2334",,,"1691",,,
"Luzardo, Jesús","666200","2239","2231",,"2383","1929",,,,"2282",
"Skenes, Paul","694973","2255","2268",,"2316","1808","2438","1676",,"2333",
"Castillo, Luis","622491","2211","2035",,"2249","1970",,,,,
"Bibee, Tanner","676440","2243","2227","2705",,"1965","2666",,,"2675",
"Brown, Hunter","686613","2276","2179","2260","2198","1501","2574",,,,
"Irvin, Jake","663623","2332","2290","2469","2488","2198","2486",,,,
"Williams, Gavin","668909","2307","2060","2286",,"1986","2454",,,"2269",
"Pfaadt, Brandon","694297","2568","2426","2756",,"2115","2673",,,"2844",
"Sánchez, Cristopher","650911",,"2137",,"2089","2043",,,,,
"Alcantara, Sandy","645261","2286","2323",,"2353","2088","2442",,,,
"Valdez, Framber","664285","2248","2200",,"2537","1708","2943",,,,
"Keller, Mitch","656605","2404","2460","2427","2531","2031","2612",,,"2714",
"Pivetta, Nick","601713","2325","2236","2351","2583",,"2797","1603",,"2443",
"Singer, Brady","663903","2442","2362","2347","2434",,,,,"2418",
"Skubal, Tarik","669373","2354","2249",,"2233","1837","2505","941",,,
"Springs, Jeffrey","605488","2171",,"2203","2226","1395",,,,"2320",
"Kelly, Merrill","518876","2369","2224","2367","2367","2158","2616",,,,
"Flaherty, Jack","656427","2263","2072",,"2428","1766","2389",,,,
"Bassitt, Chris","605135","2149","2102","2223","2372","1909","2276","1366",,"2336",
"Gore, MacKenzie","669022","2260",,"1966","2096","2093","2344",,,,
"Warren, Will","701542","2573","2430",,,"1723","2867",,,"3024",
"Ryan, Joe","657746","2295","2141",,"2333",,"2817","2014",,"2786",
"Yamamoto, Yoshinobu","808967","2200","2240","2433","2782",,"2761","1429",,"2981",
"Littell, Zack","641793","2005","2028",,"2199",,,"1105",,"2166",
"Soriano, José","667755","2225","1922",,"2428","1221","2489","1479",,,
"Holmes, Clay","605280","2303","2179","2447","2592","1105",,,,"2815",
"Boyd, Matthew","571510","2318","2281",,"2485","1818","2326",,,,
"Severino, Luis","622663","2284","2121","2287","2483","1597",,,,"2580",
"Pallante, Andre","669467","2307","2193",,"2405",,"2804",,,"2554",
"Baz, Shane","669358","2456",,"2344","2331","2114","2699",,,,
"Gray, Sonny","543243","2502","2391","2680","2620","1860","2583",,,"2661",
"Woo, Bryan","693433","2296","2303",,"2226","1827",,,,"2485",
"Parker, Mitchell","680730","2168",,,"2267",,"2280","975",,,
"Peterson, David","656849","2132","2122",,"2314","1565","2361",,,,
"Pepiot, Ryan","686752","2413","2390","2517","2591","2506","2947",,,,
"Kremer, Dean","665152","2281","2155","2401","2471",,"2772","1131",,,
"Abbott, Andrew","671096","2275",,"2501",,"1984","2800",,,"2782",
"Wacha, Michael","608379","2160","2044","2118","1954","1537","2260",,,,
"Bello, Brayan","678394","2161","2121","2479",,"1844",,,,"2475",
"Allen, Logan","671106","2227","1964","2271",,"957",,,,"2299",
"deGrom, Jacob","594798","2519",,,"2698","1666","2781",,,,
"Verlander, Justin","434378","2433","2474",,"2500","1729","2748",,,"2672",
"Corbin, Patrick","571578","2160","2091","2325","2229","1534","1922",,,,
"Rodriguez, Eduardo","593958","2304","2286","2266","2177","1933","2357",,,,
"Berríos, José","621244","2130","2028","2308",,"1554",,,,,"2362"
"Leiter, Jack","683004","2428","2337",,"2546","1522","2630",,,,
"Martinez, Nick","607259","2316","2294","2364","2434","2010","2586",,,,
"Hendricks, Kyle","543294","2051","1981",,,"2077","2823",,,,
"Paddack, Chris","663978","2244","2139","2031","1984","1808","2112",,,,
"Sugano, Tomoyuki","608372","2394","2280","2471",,,"2674","1590",,"2599",
"Morton, Charlie","450203","2323","2220","2514",,"1815","3163",,,,
"Rea, Colin","607067","2195","2152","2209","2212",,"2208","1419",,"2451",
"Elder, Bryce","693821","2226","2093",,"2491","2175",,,,,
"Freeland, Kyle","607536","2401","2273","2372",,"1487","2395",,,"2336",
"Mikolas, Miles","571945","2222","2126",,"2276","1659","2579",,,"2453",
"Lodolo, Nick","666157","2284","2307",,,"1834","2569",,,,
"Priester, Quinn","682990",,"2043","2353","2469","1415","2663",,,,
"Nelson, Ryne","669194","2270",,"2227","2415","1799","2568",,,,
"Suárez, Ranger","624133","1950","1981","2111","2163","1287","2109",,,,
"Smith, Shane","681343","2281","2124",,"2207","1588","2216",,,"2150",
"Wheeler, Zack","554430","2470","2310","2564",,,"2810","1534",,"2669",
"Liberatore, Matthew","669461","2114","2096","2491","2690","1802","2964",,,,
"Lugo, Seth","607625","2352","2398","2453","2615","1670","3111","1416",,"2754","2961"
"Burke, Sean","680732","2560","2386",,"2507","1822","2547",,,,
"Fedde, Erick","607200",,"1975","2138",,"1808",,,,"2437",
"Giolito, Lucas","608337","2231",,,"1966","1673","2471",,,,
"Sears, JP","676664","2018","1899","2117","2298","1506","2356",,,"2315",
"Ober, Bailey","641927","2289","2115",,"2030","2029","2093",,,"2099",
"Mize, Casey","663554","2251","2216",,"2188",,,"1445",,,"2262"
"Anderson, Tyler","542881","2185","2141","2294","2332","1916","2034",,,,
"Lorenzen, Michael","547179","2340","2196","2519","2578","1982","2530",,,"2557",
"Rasmussen, Drew","656876","2481","2418","2704",,"1097","2765",,,"2704",
"Martin, Davis","663436","2411","2379","2580","2735","2059","2794",,,,
"Senzatela, Antonio","622608","2229","2070",,"2291","2201","2462",,,,
"Bradley, Taj","671737","2326","2150","2178",,,"2557","1700",,,
"Cabrera, Edward","665795","2335","2309",,"2548","1749","2631",,,,
"Buehler, Walker","621111","2249","2123","2414","2525","1560","2435",,,"2715",
"Imanaga, Shota","684007","2482","1781",,"2579",,"2495","1277",,"2533",
"Quintana, Jose","500779","2095","2094",,,"1354","2178",,,,"2202"
"May, Dustin","669160","2344","2411","2496",,"1337",,,,"3182",
"Cameron, Noah","702070","2288",,"2461","2534","1513","2394",,,,
"Gilbert, Logan","669302","2116","2156",,"1821",,"2183","725",,,
"Vásquez, Randy","681190","2385","2332","2514","2761","2065","3060",,,"2989",
"Lord, Brad","695418","2330","2223",,"2512","1957",,,,,"2664"
"Strider, Spencer","675911","2300",,,"2285","1957","2662",,,,
"Kirby, George","669923","2283","2255",,"2372","1423","2371","918",,,
"Márquez, Germán","608566","2203","2151",,"2324","1641","2652",,,,
"Heaney, Andrew","571760","2375","2364",,"2474","2107","2558",,,,
"Cecconi, Slade","677944","2394","2266","2299","2565","1618","2398",,,"2596",
"Walker, Taijuan","592836","2128","1963","2434","2467",,"2420","1454",,,
"Sale, Chris","519242","2266","2111",,"2356","1831",,,,,
"Patrick, Chad","694477","2333","2193","2412","2442","2004",,,,,"2495"
"Quantrill, Cal","615698","2146","2104","2306","2441","1678","2524","1127",,,
"Taillon, Jameson","592791","2323","2213","2533",,"1753","2576",,,"2719",
"Povich, Cade","700249","2355","2192","2466",,"1134","2570",,,"2445",
"Holmes, Grant","656550","2319","2420","2542","2844","1478","2903",,,,
"Falter, Bailey","663559","2126","2026",,"2047",,"1872","933",,,
"Eovaldi, Nathan","543135","2228","2137","2301","2112",,"1913","1513",,,
"Senga, Kodai","673540","2380","2210","2470","2460",,"2439",,,"2553",
"Houser, Adrian","605288","2301","2202",,"2432","1613","1965",,,,
"Woods Richardson, Simeon","680573","2253",,,"2300","2314","2578","1073",,,
"Kochanowicz, Jack","686799","2249","2136",,"2731","2109",,,,"2842",
"Roupp, Landen","694738","2101","2101","2324",,"1828","3029",,,,
"Wentz, Joey","666214","2317",,"2455","2519","1925","2537",,,,
"Bubic, Kris","663460","2417","2251",,"2487","1605",,,,"2686",
"Cannon, Jonathan","686563","2272","2165","2315",,"1837",,,,"2624",
"Horton, Cade","690990","2485","2331",,"2560","1917","2572",,,"2566",
"Dollander, Chase","801403","2433","2411","2572",,"2072","2808",,,,
"Kershaw, Clayton","477132","2311","2329",,"2484",,"2242","1552",,,
"Gusto, Ryan","687473","2424","2337","2410","2220","1808","2443",,,"2245",
"Brown, Ben","676962","2212",,,,"1294","2284",,,,
"Greene, Hunter","668881","2439",,,"2424",,"2448","1308",,,
"Civale, Aaron","650644","2436","2261","2627","2876",,"3135","1797",,"2693",
"Kolek, Stephen","663568","2177","2148","2354","2520","1468","2243",,,"2563",
"Lauer, Eric","641778","2241","2205","2372","2254","936","2397",,,,
"Pérez, Eury","691587","2686","2371",,"2488","1742","2831",,,"2549",
"Lopez, Jacob","682052","2133","2073","2194","2370","2129",,,,,
"Mlodzinski, Carmen","669387","2143","2102","2311","2469",,"2627","1719",,"2551",
"Vasil, Mike","678024","2290","2185","2408",,"1497","2455",,,"2557",
"Cantillo, Joey","676282","1842",,,"2014","1512","2650",,,,
"Rogers, Trevor","669432","2411","2342",,"2191","1478",,,,"2050",
"Junk, Janson","676083","2292",,,"2358","1469","2512",,,"2452",
"Alexander, Tyler","641302","2234","2097","2344",,"1520",,,,"2484",
"Ginn, J.T.","669372","2000","1891","2024","2198","1493",,,,,
"Schwellenbach, Spencer","680885","2318","2180","2302","2350",,"2301","1368",,,
"Nola, Aaron","605400","2320","2218","2277",,"1603","2612",,,,
"Newcomb, Sean","656794","2321","2325","2518",,"1546","2922",,,,"2831"
"Miller, Bryce","682243","2509","2471","2574","2555",,"2357","976",,"2352",
"Burrows, Mike","681347","2306","2161",,"2536","1510","2894",,,,
"Soroka, Michael","647336","2534","2373",,,"2209",,,,,"2918"
"Ortiz, Luis","682847","2279","2293","2338","2389","1462",,,,,
"Glasnow, Tyler","607192","2533","2506",,"2667",,"2822",,,,
