"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
434378,"Verlander, Justin","R",1580,117,"54.7",-1.2649702409476302,7.096683544303797,0.15464905046368374,5.087383938829848
445926,"Chavez, Jesse","R",1044,144,"21.6",-2.1029339606433566,5.141944444444444,-0.16109328315268984,4.373591528622944
450203,"Morton, Charlie","R",2789,144,"20.8",-2.603150762323139,5.459802796701327,-0.2612275695708056,4.5689257680574755
458681,"Lynn, Lance","R",2038,138,"31.9",-2.5766369100560116,5.578954857703631,-0.5491585598232512,4.313939074474468
471911,"Carrasco, Carlos","R",1688,114,"35.8",-2.0050088437224973,5.896723933649289,-0.1365497419131375,4.551724024412652
489446,"Yates, Kirby","R",1025,140,"21.5",-2.2920950017325237,5.262741463414634,-0.3500245458023564,4.496734601278205
493603,"Ottavino, Adam","R",997,121,"24.8",-2.744897312047179,5.383219658976931,-0.5435088101202001,4.365634280113066
500779,"Quintana, Jose","L",2749,121,"44.8",1.8301294520697216,5.781531465987632,0.23004516307663977,4.193622152505303
502043,"Gibson, Kyle","R",2763,138,"45.1",-1.6622144149004505,6.247676438653637,0.0013884058700307017,4.579021336053258
502085,"Robertson, David","R",1211,140,"44.7",-1.3893451659260587,5.821701073492981,0.05075309757113564,4.396749008936207
502624,"Anderson, Chase","R",1016,9999,"42.9",-1.6451803502189468,5.7492125984251965,0.027916873429758446,4.198692346081239
506433,"Darvish, Yu","R",1189,135,"39.9",-1.747011155975283,5.602607232968881,-0.15646071550112514,4.275107778072617
518585,"Cruz, Fernando","R",1138,113,"45.4",-1.6678581342655558,6.028646748681898,-0.10075219863788301,4.437668922320486
518876,"Kelly, Merrill","R",1142,109,"25.3",-2.237125414731016,5.484684763572679,-0.24530054123703293,4.540673060599817
519242,"Sale, Chris","L",2813,144,"10.9",3.220037554211435,5.101283327408461,0.8792517942225205,4.650305091588392
519326,"Strickland, Hunter","R",1157,108,"31.7",-2.3017080151034364,5.880458081244598,-0.31566356195027706,4.653020648320616
527048,"Pérez, Martín","L",2204,9999,"47.0",1.555468195732762,5.72931941923775,-0.01591995743438441,4.042135196660746
542881,"Anderson, Tyler","L",2913,108,"57.5",0.9518018076415896,6.404263645726056,-0.23215594948087526,4.534649762176193
542888,"Armstrong, Shawn","R",1109,9999,"39.9",-1.9627118985369403,5.7996032461677185,-0.185865349859921,4.3132888564475715
543037,"Cole, Gerrit","R",1534,147,"42.4",-1.7952213362612757,5.986597131681878,-0.14853098286724908,4.4814583576194496
543135,"Eovaldi, Nathan","R",2621,140,"32.6",-2.6056144678190543,5.507264402899657,-0.575454586226291,4.210155175393316
543243,"Gray, Sonny","R",2483,138,"48.9",-1.1868205827071783,5.51344341522352,0.20319720789425133,3.9224087957110134
543294,"Hendricks, Kyle","R",2134,112,"43.0",-1.8336664558746985,5.98746954076851,-0.04584381084119769,4.321524930377707
543339,"Hudson, Daniel","R",980,119,"30.4",-2.2634486531449345,5.503622448979592,-0.1941857984102732,4.288460335588781
543859,"Tonkin, Michael","R",1402,9999,"13.2",-2.9512729321980045,5.194942938659058,-0.619582767996318,4.647982156379605
544150,"Suárez, Albert","R",2233,110,"40.0",-1.7782574205615915,6.231957008508733,0.023472518366138135,4.719309859002022
547179,"Lorenzen, Michael","R",2091,9999,"42.5",-1.691673152697178,5.784701099952176,0.025535348931973116,4.207241914418043
547973,"Chapman, Aroldis","L",1128,134,"52.5",1.3258410940034282,6.102748226950355,-0.1436272817347442,4.188267935218898
548389,"Stripling, Ross","R",1357,133,"61.3",-1.0531280907238907,6.863677229182019,0.07571144701600074,4.8002453522830715
552640,"Kittredge, Andrew","R",1010,138,"39.2",-1.7372211490862821,5.7700792079207925,-0.03156057676355871,4.378271410670479
554430,"Wheeler, Zack","R",3134,143,"24.7",-2.6740014675524773,5.228321633694958,-0.41501362931086455,4.190937892950299
570632,"Ureña, José","R",1758,140,"31.3",-2.2282608574594542,5.668714448236632,-0.19095539839268008,4.428397145161716
571578,"Corbin, Patrick","L",2888,120,"38.5",1.7949492310381991,6.250682132963989,-0.0634572063514401,4.77092600184055
571656,"Farmer, Buck","R",1167,113,"29.7",-1.936675861410177,5.693161953727507,0.1290935708972379,4.512314025022644
571670,"Floro, Dylan","R",1018,9999,"37.4",-2.150030752746696,6.024390962671906,-0.36273365368115457,4.656118883273974
571760,"Heaney, Andrew","L",2729,140,"29.5",2.3249950101168793,5.027753755954562,0.3514099486338391,3.9099913532540502
571882,"Law, Derek","R",1368,120,"51.2",-1.2297224961616788,6.487843567251462,0.17753103636989087,4.74166512454264
571945,"Mikolas, Miles","R",2703,138,"43.3",-1.9708407148210152,6.426270810210877,-0.1460003909962061,4.703901034138473
571948,"Milner, Hoby","L",1043,158,"-2.7",2.892088037009883,4.2989261744966445,0.6544353676919211,4.403488625383039
572020,"Paxton, James","L",1708,9999,"42.3",1.9248453831795205,6.051522248243559,0.11154186688833508,4.399527986679024
573124,"Rogers, Taylor","L",1060,137,"29.1",1.9079096388059316,5.671754716981132,-0.16788201232637137,4.514249885817105
573186,"Stroman, Marcus","R",2579,147,"32.5",-1.920231042627612,5.2262815044590925,-0.18844095156339527,4.121246778311592
579328,"Kikuchi, Yusei","L",2923,9999,"41.9",1.650527999038948,5.426712281902155,0.04728330729362003,3.9907875101765273
592094,"Adam, Jason","R",1109,9999,"35.0",-2.0540191923212197,6.140216411181244,-0.0832859870384747,4.760578074464477
592332,"Gausman, Kevin","R",2864,141,"36.1",-2.0779015282964672,5.678823324022346,-0.1422783686354176,4.264443529922127
592351,"Gray, Jon","R",1619,140,"32.4",-2.0775903520659953,5.604848672019766,-0.13047884364481938,4.36911164733848
592767,"Smyly, Drew","L",1015,112,"51.6",1.4344182351889787,6.63048275862069,-0.07906935978153017,4.720323113897597
592773,"Stanek, Ryne","R",977,9999,"45.6",-1.3805041722932003,6.297430910951894,0.3163735648069594,4.565274209309666
592791,"Taillon, Jameson","R",2483,112,"44.9",-1.5775322902001188,6.136133709222714,0.06800485978450253,4.491315143187579
592836,"Walker, Taijuan","R",1355,143,"40.6",-1.9011491161973788,6.453365313653136,-0.1094915329768271,4.917818532338799
592866,"Williams, Trevor","R",1064,120,"16.8",-2.754454433461228,4.983186090225564,-0.5090383604398697,4.302989583668396
593423,"Montas, Frankie","R",2632,9999,"42.7",-1.6702669268424943,5.940531914893617,0.03371320393728091,4.371810502948762
593576,"Neris, Héctor","R",1008,9999,"39.9",-1.804020400401683,6.080426587301587,0.00967464614633733,4.561677304735025
594902,"Lively, Ben","R",2405,114,"37.7",-1.7416763682034173,5.224893970893971,-0.06751707309119075,3.930023924570395
596133,"Weaver, Luke","R",1362,147,"46.6",-1.397229063301045,5.70442731277533,0.16288179985917742,4.055986939294473
596295,"Gomber, Austin","L",2542,115,"53.1",1.0217325748837658,6.530601888276947,-0.39571394995449005,4.64337807774136
600917,"Leclerc, José","R",1204,140,"40.4",-1.5308313248757917,5.879393687707641,0.21652526175375011,4.389771065550956
601713,"Pivetta, Nick","R",2386,111,"56.4",-0.9674159910097769,6.813575020955574,0.3173364988203618,4.877866862214672
605130,"Barlow, Scott","R",1017,114,"28.4",-2.214493423136349,5.269695181907571,-0.14688859758438103,4.152086648718663
605135,"Bassitt, Chris","R",2959,141,"35.3",-2.062586334955595,5.522419736397431,0.040983214266996554,4.032917895101142
605154,"Brebbia, John","R",994,9999,"40.7",-1.625316138496377,5.874637826961771,0.05201702299357643,4.431563261386501
605280,"Holmes, Clay","R",1063,147,"49.2",-1.500066525570226,6.575766698024459,0.13242143925559619,4.684355173364993
605288,"Houser, Adrian","R",1099,121,"40.5",-1.8987140841970251,5.874549590536851,-0.13430969816994545,4.367848275453783
605397,"Musgrove, Joe","R",1522,135,"35.5",-2.2990581039633655,6.35523653088042,-0.2248244760154689,4.8764739021388035
605400,"Nola, Aaron","R",3189,143,"20.1",-2.401194614062124,5.024550015678896,-0.24431070963634463,4.236191173983205
605452,"Ross, Joe","R",1197,158,"34.7",-1.9998368919108331,5.68920634920635,-0.14489318088745334,4.404681786611508
605463,"Scott, Tayler","R",1178,117,"13.2",-2.783731494946469,4.776553480475382,-0.5824923124937581,4.2594931135735665
605483,"Snell, Blake","L",1773,137,"57.1",1.1071542499099827,6.638742244782854,-0.18897046703724818,4.636251638360313
606930,"Barnes, Jacob","R",1117,120,"43.1",-1.5237218940782333,5.698549686660698,0.21547261971444392,4.069630445696632
607067,"Rea, Colin","R",2650,158,"34.5",-1.9164222712561931,5.576962264150944,-0.08772867638650658,4.319599294790301
607074,"Rodón, Carlos","L",3102,147,"45.4",1.695468761020261,6.325892972275951,-0.016885460820516,4.589699503511621
607192,"Glasnow, Tyler","R",1934,119,"57.8",-1.1237964225640704,6.054400206825233,0.1739812898742274,3.9849101560959066
607200,"Fedde, Erick","R",2891,9999,"37.2",-1.771194661182555,5.826118989968869,0.11966506383755351,4.388129700416376
607259,"Martinez, Nick","R",2122,113,"58.6",-0.8373672959795044,6.241573986804901,0.33658885527392346,4.316381573398788
607481,"Bummer, Aaron","L",974,144,"7.3",2.6269247817981816,5.131211498973306,0.30306837727437436,4.834755175288334
607536,"Freeland, Kyle","L",1769,115,"27.3",2.165502115003917,5.723629169022046,0.133707758545116,4.6759105656034965
607625,"Lugo, Seth","R",3112,118,"32.6",-2.202980982680938,5.485899742930592,-0.1693410549812353,4.182185503645253
608331,"Fried, Max","L",2761,144,"48.4",1.4837803267658716,5.950445490764216,-0.09755479901815522,4.167901485227459
608334,"Fulmer, Carson","R",1469,108,"37.7",-2.0459968269344992,5.659142273655548,-0.27422259901299467,4.287237667590088
608344,"Irvin, Cole","L",1767,9999,"40.0",2.009759765310023,6.094272778720996,0.23581559487817352,4.605764152964782
608379,"Wacha, Michael","R",2602,118,"51.5",-1.2611875324712423,6.520857033051499,0.1639085179232758,4.727319871112445
608717,"Stratton, Chris","R",994,118,"35.1",-1.952518398197004,5.854346076458753,0.022813486892836524,4.467459695965454
608718,"Suter, Brent","L",1022,113,"55.6",1.1142917034910154,6.290557729941292,-0.05780173081685976,4.575350392959177
608723,"Voth, Austin","R",974,136,"37.4",-1.7965253295734853,5.685985626283368,-0.04748363063537905,4.350308466748656
615698,"Quantrill, Cal","R",2545,115,"45.7",-1.5459790767581156,6.315347740667977,0.15818215045403766,4.5685226944587445
621107,"Eflin, Zach","R",2447,9999,"27.2",-2.6404009726783495,5.787331426236207,-0.4433402027802242,4.658509989969165
621111,"Buehler, Walker","R",1336,119,"45.5",-1.5334914752059103,5.537769461077844,-0.073211283115587,4.05113861735086
621112,"Blackburn, Paul","R",1212,9999,"49.6",-1.5023394397978669,6.042541254125412,0.005599708720872079,4.270532995946653
621237,"Alvarado, José","L",1017,143,"65.1",0.5206819358590487,6.654601769911505,-0.5324393113855894,4.374738650955153
621244,"Berríos, José","R",2907,141,"39.6",-2.15007123701684,5.611795665634675,-0.3531916772287925,4.12770302122788
621383,"Banks, Tanner","L",1174,9999,"48.8",1.714126153546922,6.247052810902896,0.17050048252846128,4.48126296814219
621389,"Blach, Ty","L",1133,115,"20.9",2.3192544413560183,5.738358340688438,0.13436002048416254,4.9016901776710045
622491,"Castillo, Luis","R",2852,136,"15.3",-2.473328915976878,5.026399018232819,-0.16350473770790988,4.392772321765631
622554,"Domínguez, Seranthony","R",1050,9999,"29.5",-2.0725608353855582,5.441904761904762,-0.09448619760631526,4.324531656395892
622663,"Severino, Luis","R",2888,121,"41.1",-1.5554512666709048,5.910803324099723,0.07422070399489436,4.491105180728171
623167,"Flexen, Chris","R",2797,145,"70.1",-0.32153229258470345,6.842366821594566,0.4569256036038103,4.691820796760216
623352,"Hader, Josh","L",1151,117,"34.0",2.1094516229663367,5.708036490008688,0.15370403562894236,4.38706326855203
624133,"Suárez, Ranger","L",2265,143,"41.8",1.7074498814543801,5.845532008830022,0.000508569607252897,4.319290149803449
625643,"López, Reynaldo","R",2109,144,"41.9",-1.662428572389232,5.831247036510194,-0.11392869659696285,4.441849304863546
