"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Sabol, Blake","666165","NA","2",,"92","0","0","0","0","92","0","0","0","92","92.5",,,,,"86.1",,,,"86.1","86.1"
"Solano, Donovan","456781","NA","3","First Baseman","412","308","60","44","0","0","0","0","104","0","80.5","72.9",,,,,,,"79.1",,"79.1"
"Votto, Joey","458015","NA","3","First Baseman","191","191","0","0","0","0","0","0","0","0","76.6","75.5",,,,,,,,,"75.5"
"Santana, Carlos","467793","NA","3","First Baseman","767","767","0","0","0","0","0","0","0","0","83.9","79",,,,,,,,,"79"
"Gurriel, Yuli","493329","NA","3","First Baseman","251","251","0","0","0","0","0","0","0","0","71","68.5",,,,,,,,,"68.5"
"Goldschmidt, Paul","502671","NA","3","First Baseman","650","650","0","0","0","0","0","0","0","0","74.7","69.2",,,,,,,,,"69.2"
"Freeman, Freddie","518692","NA","3","First Baseman","966","966","0","0","0","0","0","0","0","0","81.9","77",,,,,,,,,"77"
"Rizzo, Anthony","519203","NA","3","First Baseman","476","476","0","0","0","0","0","0","0","0","76.1","73",,,,,,,,,"73"
"Flores, Wilmer","527038","NA","3","First Baseman","272","204","11","57","0","0","0","0","68","0","83.3","72.3",,,,,,,,,"72.3"
"Cron, C.J.","543068","NA","3","First Baseman","228","228","0","0","0","0","0","0","0","0","81.8","81.5",,,,,,,,,"81.5"
"Abreu, José","547989","NA","3","First Baseman","468","468","0","0","0","0","0","0","0","0","74.3","71.8",,,,,,,,,"71.8"
"Walker, Christian","572233","NA","3","First Baseman","614","614","0","0","0","0","0","0","0","0","77.1","72.8",,,,,,,,,"72.8"
"Olson, Matt","621566","NA","3","First Baseman","896","896","0","0","0","0","0","0","0","0","86.1","79.5",,,,,,,,,"79.5"
"Alonso, Pete","624413","NA","3","First Baseman","751","751","0","0","0","0","0","0","0","0","79.7","74.8",,,,,,,,,"74.8"
"Cronenworth, Jake","630105","NA","3","First Baseman","483","368","115","0","0","0","0","0","115","0","86.8","80.8","80.3",,,,,,"80.3",,"80.8"
