"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,79.3825286560559,,,,,79.3825286560559,64.53661421773033,16.39786972274207,-1.5519552844164586,8110,8110,0,0,0,0,0,0,0
"Kirk, Alejandro",672386,50.45459445618352,,,,,50.45459445618352,35.70560100413121,5.2182775567686015,9.530715895283699,7519,7519,0,0,0,0,0,0,0
"Doyle, Brenton",686668,43.95144640716344,43.95144640716344,30.55925666983058,13.39218973733285,,,,,,10071,0,0,0,0,0,0,10071,0
"Witt Jr., Bobby",677951,41.48004309854478,41.48004309854478,39.767526605863985,0.32217996184933634,1.3903365308314761,,,,,12041,0,0,0,0,12041,0,0,0
"Giménez, Andrés",665926,38.409634886028975,38.409634886028975,34.90718465020863,0.2547614804093337,3.2476887554110063,,,,,10433,0,0,10076,0,357,0,0,0
"Crow-Armstrong, Pete",691718,37.63333846248559,37.63333846248559,31.662044291274523,5.97129417121106,,,,,,7125,0,0,0,0,0,0,7125,0
"Hayes, Ke'Bryan",663647,37.240504181882784,37.240504181882784,33.9323909203111,-0.20472988454336882,3.5128431461150282,,,,,9451,0,0,0,9451,0,0,0,0
"Young, Jacob",696285,35.82551829286526,35.82551829286526,33.81504899579736,2.0104692970678997,,,,,,7308,0,0,0,0,0,0,7308,0
"Varsho, Daulton",662139,32.57286504969954,32.57286504969954,29.497427390817162,3.0754376588823775,,,,,,8747,0,0,0,0,0,3666,5054,27
"Semien, Marcus",543760,32.44538908273286,32.44538908273286,29.548531859371685,-0.015795548601822026,2.9126527719630153,,,,,11692,0,0,11692,0,0,0,0,0
"Tovar, Ezequiel",678662,32.310265609943286,32.310265609943286,24.93619517194252,0.6971592325067998,6.6769112054939646,,,,,10510,0,0,0,0,10510,0,0,0
"Hoerner, Nico",663538,32.24086554326999,32.24086554326999,29.863317406977,0.17607628303473033,2.2014718532582647,,,,,11923,0,0,11182,0,741,0,0,0
"Swanson, Dansby",621020,30.541514750685707,30.541514750685707,29.009027257867185,0.28944918891372157,1.243038303904793,,,,,11819,0,0,0,0,11819,0,0,0
"Raleigh, Cal",663728,29.164528931313,,,,,29.164528931313,26.092164090456134,6.02266136660475,-2.950296525747875,9696,9696,0,0,0,0,0,0,0
"Dubón, Mauricio",643289,28.644364491627254,28.644364491627254,24.829162503818115,0.45086871011192153,3.3643332776972277,,,,,8803,0,369,3218,655,949,1924,1358,330
"Garcia, Maikel",672580,27.442441932122463,27.442441932122463,24.822081225785443,0.15730507213050332,2.463055634206519,,,,,10765,0,0,1019,9017,612,0,88,29
"Isbel, Kyle",664728,26.24457541452363,26.24457541452363,28.20633114752867,-1.9617557330050368,,,,,,8366,0,0,0,0,0,0,8366,0
"Rodríguez, Julio",677594,25.908216150164765,25.908216150164765,26.452250010907786,-0.5440338607430476,,,,,,11646,0,0,0,0,0,0,11646,0
"Siri, Jose",642350,24.690360708964,24.690360708964,22.353442603891644,2.3369181050723564,,,,,,5938,0,3,0,0,0,0,5935,0
"Kwan, Steven",680757,24.272004638320027,24.272004638320027,14.226633098267794,10.045371540052228,,,,,,11013,0,0,0,0,0,11010,3,0
"Meyers, Jake",676694,24.169879682197323,24.169879682197323,27.133086216165243,-2.9632065339679325,,,,,,8389,0,0,0,0,0,15,8374,0
