"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,31.48095802572864,,,,,31.48095802572864,25.079035150583493,5.235503555465639,1.1664193196794992,3089,3089,0,0,0,0,0,0,0
"Kirk, Alejandro",672386,22.119135723352375,,,,,22.119135723352375,16.599321194480222,0.30852584193036897,5.211288686941804,2896,2896,0,0,0,0,0,0,0
"Rafaela, Ceddanne",678882,21.84700468183495,21.84700468183495,19.463432823185578,2.2804116296223254,0.10316022902703567,,,,,3997,0,0,495,0,0,0,3502,0
"Crow-Armstrong, Pete",691718,21.04240974943455,21.04240974943455,18.509630555900493,2.532779193534057,,,,,,4071,0,0,0,0,0,0,4071,0
"Witt Jr., Bobby",677951,20.039813338524695,20.039813338524695,18.332708856686928,-0.0062305689956091695,1.7133350508333742,,,,,4020,0,0,0,0,4020,0,0,0
"Hayes, Ke'Bryan",663647,17.170312212778192,17.170312212778192,16.26869698406687,,0.9016152287113228,,,,,3849,0,0,0,3849,0,0,0,0
"Dubón, Mauricio",643289,17.123256425019306,17.123256425019306,14.690393443332109,1.6568886303766384,0.7759743513105316,,,,,2882,0,39,954,423,619,526,267,54
"Winn, Masyn",691026,16.8374181769389,16.8374181769389,15.994650073006373,-0.23486910590732485,1.077637209839853,,,,,3323,0,0,0,0,3323,0,0,0
"Young, Jacob",696285,14.677177636040934,14.677177636040934,12.865073810665438,1.8121038253754944,,,,,,2704,0,0,0,0,0,0,2704,0
"Garcia, Maikel",672580,13.249352653860079,13.249352653860079,12.529976438492389,0.08890150265668623,0.6304747127110003,,,,,4010,0,0,198,3434,266,0,88,24
"Hoerner, Nico",663538,12.739150556293026,12.739150556293026,11.470546417493214,-0.03615422951370315,1.3047583683135138,,,,,4089,0,0,3978,0,111,0,0,0
"Allen, Nick",669397,12.576365379437082,12.576365379437082,12.735292120332938,0.0785821587605562,-0.23750889965641298,,,,,3212,0,0,75,0,3137,0,0,0
"Narváez, Carlos",665966,12.270084758228132,,,,,12.270084758228132,4.99577369168239,5.873870282889508,1.4004407836562234,2856,2856,0,0,0,0,0,0,0
"Scott II, Victor",687363,12.120583199627294,12.120583199627294,15.215858472038894,-3.0952752724115973,,,,,,3354,0,0,0,0,0,63,3263,28
"Pages, Andy",681624,12.093976586105706,12.093976586105706,8.985946589552585,3.108029996553115,,,,,,4107,0,0,0,0,0,459,2919,729
"Wells, Austin",669224,11.66148325563408,,,,,11.66148325563408,11.891828030854613,-0.2181195074590705,-0.012225267761464806,3003,3003,0,0,0,0,0,0,0
"Dingler, Dillon",693307,11.597485554402068,,,,,11.597485554402068,6.68184177835165,2.4732735012961333,2.442370274754277,3035,3035,0,0,0,0,0,0,0
"Kwan, Steven",680757,11.524884936845845,11.524884936845845,4.769567920020442,6.755317016825405,,,,,,3987,0,0,0,0,0,3984,3,0
"Torrens, Luis",620443,10.98623837870772,,,,,10.98623837870772,3.819809188292556,7.523782061595765,-0.35735287118060216,1930,1922,6,0,0,0,0,0,0
"Doyle, Brenton",686668,10.815391793237708,10.815391793237708,5.4330439557684205,5.382347837469293,,,,,,3272,0,0,0,0,0,0,3272,0
"Turner, Trea",607208,10.544323333835363,10.544323333835363,12.070778460337692,0.4864396893032959,-2.0128948158056184,,,,,3649,0,0,0,0,3649,0,0,0
"Isbel, Kyle",664728,10.373769361237466,10.373769361237466,10.86152416941041,-0.4877548081729472,,,,,,3096,0,0,0,0,0,0,3096,0
"Ortiz, Joey",687401,10.25352448140884,10.25352448140884,9.06130075794547,0.06258665071639545,1.1296370727469751,,,,,3653,0,0,0,0,3653,0,0,0
"Clement, Ernie",676391,9.713483331808009,9.713483331808009,9.568843016563596,0.0007889622380355234,0.14385135300637503,,,,,3796,0,207,1270,1809,510,0,0,0
"Rodríguez, Julio",677594,9.70649580215215,9.70649580215215,8.9435554700885,0.7629403320636422,,,,,,4219,0,0,0,0,0,0,4219,0
"Tatis Jr., Fernando",665487,9.278643487133914,9.278643487133914,7.2311971747351835,2.0474463123987325,,,,,,3897,0,0,0,0,0,0,0,3897
"Langford, Wyatt",694671,9.189120696721256,9.189120696721256,8.77641091254217,0.4127097841790796,,,,,,3482,0,0,0,0,0,2524,958,0
"Bellinger, Cody",641355,9.045172775892599,9.045172775892599,5.687379671139275,3.191326877796008,0.16646622695730665,,,,,3965,0,80,0,0,0,1718,919,1248
"Straw, Myles",664702,8.621948394672339,8.621948394672339,8.526639559162344,0.0953088355099942,,,,,,2101,0,0,6,0,0,363,1597,135
"Schneemann, Daniel",682177,8.483895992151448,8.483895992151448,6.340099506327841,1.185173726834581,0.9586227589890212,,,,,2800,0,0,1544,424,162,90,403,177
"Abreu, Wilyer",677800,8.417766323073335,8.417766323073335,6.976257744931321,1.4415085781420192,,,,,,2542,0,0,0,0,0,0,0,2542
"Moreno, Gabriel",672515,8.23643862760623,,,,,8.23643862760623,6.400298931947812,0.5954802380460903,1.24065945761233,1794,1794,0,0,0,0,0,0,0
"Taylor, Tyrone",621438,8.064877852809511,8.064877852809511,3.0343796550682787,5.030498197741229,,,,,,2430,0,0,0,0,0,69,2349,12
"Meyers, Jake",676694,7.608461902195724,7.608461902195724,8.431642574435163,-0.8231806722394399,,,,,,2532,0,0,0,0,0,0,2532,0
"Olson, Matt",621566,7.597576435910973,7.597576435910973,6.696686179903051,-0.22992399039827816,1.1308142464061997,,,,,4287,0,4287,0,0,0,0,0,0
"France, Ty",664034,7.2204043063731564,7.2204043063731564,7.183096933675218,,0.03730737269793727,,,,,2933,0,2930,3,0,0,0,0,0
"Edman, Tommy",669242,7.163393569494952,7.163393569494952,6.00319946937049,1.3394318659319953,-0.1792377658075378,,,,,2416,0,0,1576,303,0,0,537,0
